Dataset,ObservedProperty,OrigPropertyCode,DataType,StandardCode
VicGovernment,15F4,15F4,L,TRUE
VicGovernment,15G_C,15G_C,L,TRUE
VicGovernment,15G_C_AL1,15G_C_AL1,L,TRUE
VicGovernment,15G_C_AL2,15G_C_AL2,L,TRUE
VicGovernment,15G_C_H1,15G_C_H1,L,TRUE
VicGovernment,15G_C_H2,15G_C_H2,L,TRUE
VicGovernment,15G_H,15G_H,L,TRUE
VicGovernment,15G1,15G1,L,TRUE
VicGovernment,15G1_AL,15G1_AL,L,TRUE
VicGovernment,15G1_H,15G1_H,L,TRUE
VicGovernment,15H1,15H1,L,TRUE
VicGovernment,15I1,15I1,L,TRUE
VicGovernment,15I2,15I2,L,TRUE
VicGovernment,15I3,15I3,L,TRUE
VicGovernment,15I4,15I4,L,TRUE
VicGovernment,15J_BASES,15J_BASES,L,TRUE
VicGovernment,15J_BASESS,15J_BASESS,L,TRUE
VicGovernment,15J_CEC,15J_CEC,L,TRUE
VicGovernment,15J_H,15J_H,L,TRUE
VicGovernment,15J1,15J1,L,TRUE
VicGovernment,15K1,15K1,L,TRUE
VicGovernment,15L1,15L1,L,TRUE
VicGovernment,15M1,15M1,L,TRUE
VicGovernment,15M1_Ca_Mg,15M1_Ca_Mg,L,TRUE
VicGovernment,15N1,15N1,L,TRUE
VicGovernment,15O1,15O1,L,TRUE
VicGovernment,16A1,16A1,L,TRUE
VicGovernment,16B1,16B1,L,TRUE
VicGovernment,16C1,16C1,L,TRUE
VicGovernment,16D1,16D1,L,TRUE
VicGovernment,17_HCLP205,17_HCLP205,L,TRUE
VicGovernment,17A_HCL,17A_HCL,L,TRUE
VicGovernment,17A_HF+,17A_HF+,L,TRUE
VicGovernment,17A_NR,17A_NR,L,TRUE
VicGovernment,17A1,17A1,L,TRUE
VicGovernment,17A1_P2O5,17A1_P2O5,L,TRUE
VicGovernment,18A1,18A1,L,TRUE
VicGovernment,18B1,18B1,L,TRUE
VicGovernment,18B2,18B2,L,TRUE
VicGovernment,18E2,18E2,L,TRUE
VicGovernment,19A1,19A1,L,TRUE
VicGovernment,19B_NR,19B_NR,L,TRUE
VicGovernment,19B1,19B1,L,TRUE
VicGovernment,19C1,19C1,L,TRUE
VicGovernment,2_LOI,2_LOI,L,TRUE
VicGovernment,2A1,2A1,L,TRUE
VicGovernment,2B1,2B1,L,TRUE
VicGovernment,2C1,2C1,L,TRUE
VicGovernment,2D1,2D1,L,TRUE
VicGovernment,3_C_B,3_C_B,L,TRUE
VicGovernment,3_NR,3_NR,L,TRUE
VicGovernment,3A_C_2.5,3A_C_2.5,L,TRUE
VicGovernment,3A_TSS,3A_TSS,L,TRUE
VicGovernment,3A1,3A1,L,TRUE
VicGovernment,3A1_Ece,3A1_Ece,L,TRUE
VicGovernment,4_NR,4_NR,L,TRUE
VicGovernment,4A_C_1,4A_C_1,L,TRUE
VicGovernment,4A_C_2.5,4A_C_2.5,L,TRUE
VicGovernment,4A1,4A1,L,TRUE
VicGovernment,4B_C_2.5,4B_C_2.5,L,TRUE
VicGovernment,4B1,4B1,L,TRUE
VicGovernment,4B2,4B2,L,TRUE
VicGovernment,4C_C_1,4C_C_1,L,TRUE
VicGovernment,4C1,4C1,L,TRUE
VicGovernment,4C2,4C2,L,TRUE
VicGovernment,4D1,4D1,L,TRUE
VicGovernment,4E1,4E1,L,TRUE
VicGovernment,4F1,4F1,L,TRUE
VicGovernment,5_C_B,5_C_B,L,TRUE
VicGovernment,5_NR,5_NR,L,TRUE
VicGovernment,503.01,503.01,L,TRUE
VicGovernment,503.02,503.02,L,TRUE
VicGovernment,503.03,503.03,L,TRUE
VicGovernment,503.04,503.04,L,TRUE
VicGovernment,503.05,503.05,L,TRUE
VicGovernment,503.06,503.06,L,TRUE
VicGovernment,503.07,503.07,L,TRUE
VicGovernment,503.08,503.08,L,TRUE
VicGovernment,503.09,503.09,L,TRUE
VicGovernment,504.01,504.01,L,TRUE
VicGovernment,504.02,504.02,L,TRUE
VicGovernment,504.03,504.03,L,TRUE
VicGovernment,505.01,505.01,L,TRUE
VicGovernment,507.01,507.01,L,TRUE
VicGovernment,508.01,508.01,L,TRUE
VicGovernment,509.01,509.01,L,TRUE
VicGovernment,510.01,510.01,L,TRUE
VicGovernment,510.02,510.02,L,TRUE
VicGovernment,510.03,510.03,L,TRUE
VicGovernment,510.04,510.04,L,TRUE
VicGovernment,510.05,510.05,L,TRUE
VicGovernment,513.01,513.01,L,TRUE
VicGovernment,514.01,514.01,L,TRUE
VicGovernment,514.02,514.02,L,TRUE
VicGovernment,514.03,514.03,L,TRUE
VicGovernment,514.04,514.04,L,TRUE
VicGovernment,515.01,515.01,L,TRUE
VicGovernment,516.01,516.01,L,TRUE
VicGovernment,517.01,517.01,L,TRUE
VicGovernment,517.02,517.02,L,TRUE
VicGovernment,517.03,517.03,L,TRUE
VicGovernment,517.04,517.04,L,TRUE
VicGovernment,517.05,517.05,L,TRUE
VicGovernment,517.06,517.06,L,TRUE
VicGovernment,517.07,517.07,L,TRUE
VicGovernment,517.08,517.08,L,TRUE
VicGovernment,517.09,517.09,L,TRUE
VicGovernment,517.10,517.10,L,TRUE
VicGovernment,517.11,517.11,L,TRUE
VicGovernment,517.12,517.12,L,TRUE
VicGovernment,517.13,517.13,L,TRUE
VicGovernment,517.14,517.14,L,TRUE
VicGovernment,517.15,517.15,L,TRUE
VicGovernment,517.16,517.16,L,TRUE
VicGovernment,518.01,518.01,L,TRUE
VicGovernment,518.02,518.02,L,TRUE
VicGovernment,518.03,518.03,L,TRUE
VicGovernment,519.01,519.01,L,TRUE
VicGovernment,519.01_MOD,519.01_MOD,L,TRUE
VicGovernment,519.02,519.02,L,TRUE
VicGovernment,519.03,519.03,L,TRUE
VicGovernment,519.03_MOD,519.03_MOD,L,TRUE
VicGovernment,520.01,520.01,L,TRUE
VicGovernment,521.01,521.01,L,TRUE
VicGovernment,5A_C_2.5,5A_C_2.5,L,TRUE
VicGovernment,5A1,5A1,L,TRUE
VicGovernment,5A2,5A2,L,TRUE
VicGovernment,5A2_NaCl,5A2_NaCl,L,TRUE
VicGovernment,6_DC,6_DC,L,TRUE
VicGovernment,6A1,6A1,L,TRUE
VicGovernment,6A1_OC,6A1_OC,L,TRUE
VicGovernment,6A1_UC,6A1_UC,L,TRUE
VicGovernment,6B1,6B1,L,TRUE
VicGovernment,6B2,6B2,L,TRUE
VicGovernment,6B2_OC,6B2_OC,L,TRUE
VicGovernment,6B3,6B3,L,TRUE
VicGovernment,6C1,6C1,L,TRUE
VicGovernment,6Z,6Z,L,TRUE
VicGovernment,7_C_B,7_C_B,L,TRUE
VicGovernment,7_NR,7_NR,L,TRUE
VicGovernment,7A1,7A1,L,TRUE
VicGovernment,7A2,7A2,L,TRUE
VicGovernment,7A3,7A3,L,TRUE
VicGovernment,7A4,7A4,L,TRUE
VicGovernment,7A5,7A5,L,TRUE
VicGovernment,7B1,7B1,L,TRUE
VicGovernment,7C1,7C1,L,TRUE
VicGovernment,7C1a,7C1a,L,TRUE
VicGovernment,7C1b,7C1b,L,TRUE
VicGovernment,7C1c,7C1c,L,TRUE
VicGovernment,7C1d,7C1d,L,TRUE
VicGovernment,7C1e,7C1e,L,TRUE
VicGovernment,7C1f,7C1f,L,TRUE
VicGovernment,7C1g,7C1g,L,TRUE
VicGovernment,7C1h,7C1h,L,TRUE
VicGovernment,7C2,7C2,L,TRUE
VicGovernment,7D1,7D1,L,TRUE
VicGovernment,8A1,8A1,L,TRUE
VicGovernment,9_NR,9_NR,L,TRUE
VicGovernment,9A_HCL,9A_HCL,L,TRUE
VicGovernment,9A_HCLP2O5,9A_HCLP2O5,L,TRUE
VicGovernment,9A_HF+,9A_HF+,L,TRUE
VicGovernment,9A_NR,9A_NR,L,TRUE
VicGovernment,9A1,9A1,L,TRUE
VicGovernment,9A1_P2O5,9A1_P2O5,L,TRUE
VicGovernment,9A2,9A2,L,TRUE
VicGovernment,9A3,9A3,L,TRUE
VicGovernment,9B_9C,9B_9C,L,TRUE
VicGovernment,9B1,9B1,L,TRUE
VicGovernment,9B2,9B2,L,TRUE
VicGovernment,9B2_COL,9B2_COL,L,TRUE
VicGovernment,9BUFF_0,9BUFF_0,L,TRUE
VicGovernment,9BUFF_0.5,9BUFF_0.5,L,TRUE
VicGovernment,9BUFF_1,9BUFF_1,L,TRUE
VicGovernment,9BUFF_2,9BUFF_2,L,TRUE
VicGovernment,9BUFF_4,9BUFF_4,L,TRUE
VicGovernment,9C1,9C1,L,TRUE
VicGovernment,9C2,9C2,L,TRUE
VicGovernment,9D1,9D1,L,TRUE
VicGovernment,9D2,9D2,L,TRUE
VicGovernment,9E,9E,L,TRUE
VicGovernment,9E1,9E1,L,TRUE
VicGovernment,9E2,9E2,L,TRUE
VicGovernment,9F1,9F1,L,TRUE
VicGovernment,9F2,9F2,L,TRUE
VicGovernment,9G_BSES,9G_BSES,L,TRUE
VicGovernment,9G1,9G1,L,TRUE
VicGovernment,9G2,9G2,L,TRUE
VicGovernment,9H_NR,9H_NR,L,TRUE
VicGovernment,9H1,9H1,L,TRUE
VicGovernment,9I1,9I1,L,TRUE
VicGovernment,9J1,9J1,L,TRUE
VicGovernment,9J2,9J2,L,TRUE
VicGovernment,9M,9M,L,TRUE
VicGovernment,9R1,9R1,L,TRUE
VicGovernment,O_AGGRADATION,AGGRADATION,M,TRUE
VicGovernment,AGGRADATION_TYPE,AGGRADATION_TYPE,M,TRUE
VicGovernment,AP,AP,L,FALSE
VicGovernment,O_ASC_CONF,ASC_CONF,M,TRUE
VicGovernment,O_ASC_FAM1,ASC_FAM1,M,TRUE
VicGovernment,O_ASC_FAM2,ASC_FAM2,M,TRUE
VicGovernment,O_ASC_FAM3,ASC_FAM3,M,TRUE
VicGovernment,O_ASC_FAM4,ASC_FAM4,M,TRUE
VicGovernment,O_ASC_FAM5,ASC_FAM5,M,TRUE
VicGovernment,O_ASC_GGRP,ASC_GGRP,M,TRUE
VicGovernment,O_ASC_ORD,ASC_ORD,M,TRUE
VicGovernment,O_ASC_SGRP,ASC_SGRP,M,TRUE
VicGovernment,O_ASC_SORD,ASC_SORD,M,TRUE
VicGovernment,ASPECT,ASPECT,M,FALSE
VicGovernment,ASPECT_EVAL,ASPECT_EVAL,M,FALSE
VicGovernment,H_BOUND_DISTINCT,BOUND_DISTINCT,M,TRUE
VicGovernment,H_BOUND_SHAPE,BOUND_SHAPE,M,TRUE
VicGovernment,H_CARBONATE_EFF,CARBONATE_EFF,M,TRUE
VicGovernment,CF_ABUN,CF_ABUN,M,TRUE
VicGovernment,CF_LITH,CF_LITH,M,TRUE
VicGovernment,CF_SHAPE,CF_SHAPE,M,TRUE
VicGovernment,CF_SIZE,CF_SIZE,M,TRUE
VicGovernment,CF_STRENGTH,CF_STRENGTH,M,TRUE
VicGovernment,COL_MOISTURE_STAT,COL_MOISTURE_STAT,M,TRUE
VicGovernment,COL_HUE_VAL_CHROM,COL_MUNSELL_COLOUR,M,TRUE
VicGovernment,COL_MUNSELL_DRY,COL_MUNSELL_DRY,M,TRUE
VicGovernment,CRACK_WIDTH,CRACK_WIDTH,M,TRUE
VicGovernment,CUTAN_ABUN,CUTAN_ABUN,M,TRUE
VicGovernment,CUTAN_DISTINCT,CUTAN_DISTINCT,M,TRUE
VicGovernment,CUTAN_TYPE,CUTAN_TYPE,M,TRUE
VicGovernment,O_DATE_DESC,DATE_DESC,M,TRUE
VicGovernment,DEGRAD_SUSCEPT,DEGRAD_SUSCEPT,M,FALSE
VicGovernment,DEPTH_LIMITER,DEPTH_LIMITER,M,FALSE
VicGovernment,O_DEPTH_RHORIZON_PF,DEPTH_RHORIZON,M,TRUE
VicGovernment,O_DEPTH_WATER_PREF,DEPTH_WATER,M,TRUE
VicGovernment,O_DESC_BY,DESC_BY,M,TRUE
VicGovernment,H_DESIG_SUFFIX,DESIG_SUFFIX_B,M,TRUE
VicGovernment,DISP_F_D,DISP_F_D,L,FALSE
VicGovernment,DISP_F_R,DISP_F_R,L,FALSE
VicGovernment,DISP_L_D2,DISP_L_D2,L,FALSE
VicGovernment,DISP_L_D20,DISP_L_D20,L,FALSE
VicGovernment,DISP_R_D2,DISP_R_D2,L,FALSE
VicGovernment,DISP_R_D20,DISP_R_D20,L,FALSE
VicGovernment,O_SOIL_DISTURB,DIST_TYPE,M,TRUE
VicGovernment,O_DRAINAGE,DRAINAGE,M,TRUE
VicGovernment,DRAINAGE_HEIGHT,DRAINAGE_HEIGHT,M,FALSE
VicGovernment,EGM_AGENT,EGM_AGENT,M,TRUE
VicGovernment,EGM_MODE,EGM_MODE,M,TRUE
VicGovernment,ELEM_HEIGHT,ELEM_HEIGHT,M,TRUE
VicGovernment,ELEM_LENGTH,ELEM_LENGTH,M,FALSE
VicGovernment,ELEM_LOCATIONS,ELEM_LOCATION,M,FALSE
VicGovernment,S_ELEM_TYPE,ELEM_TYPE,M,TRUE
VicGovernment,ELEM_WIDTH,ELEM_WIDTH,M,FALSE
VicGovernment,O_ELEVATION_PF,ELEVATION,M,TRUE
VicGovernment,ELEVATION_EVAL,ELEVATION_EVAL,M,FALSE
VicGovernment,EMERSON_CLASS,EMERSON_CLASS,L,FALSE
VicGovernment,FAB_TYPE,FAB_TYPE,M,TRUE
VicGovernment,FACTUAL_KEY,O_PPF,M,TRUE
VicGovernment,GEOL_AGE,GEOL_AGE,M,FALSE
VicGovernment,GRAVEL_VE,GRAVEL_VE,M,FALSE
VicGovernment,O_GSG,GSG,M,TRUE
VicGovernment,HORIZON,HORIZON,M,FALSE
VicGovernment,O_INUND_DEPTH,INUND_DEPTH,M,TRUE
VicGovernment,O_INUND_DUR,INUND_DUR,M,TRUE
VicGovernment,O_INUND_FREQ,INUND_FREQ,M,TRUE
VicGovernment,LAND_LIMIT,LAND_LIMIT,M,FALSE
VicGovernment,LAND_USE,LANDUSE,M,FALSE
VicGovernment,LITH_GEN,LITH_GEN,M,FALSE
VicGovernment,LOWEST_DEPTH,LOWEST_DEPTH,M,FALSE
VicGovernment,LSU,LSU,M,FALSE
VicGovernment,M1a,M1a,L,TRUE
VicGovernment,S_MAP_SHEET_NO,MAP_SHEET_NO,M,TRUE
VicGovernment,O_MAP_UNIT_NAME,MAP_UNIT,M,TRUE
VicGovernment,MIN_EC,MIN_EC,L,FALSE
VicGovernment,MIN_NR_K2O,MIN_NR_K2O,L,FALSE
VicGovernment,S_MODAL_SLOPE,MODAL_SLOPE,M,TRUE
VicGovernment,S_MORPH_TYPE,MORPH_TYPE,M,TRUE
VicGovernment,MOTT_ABUN,MOTT_ABUN,M,TRUE
VicGovernment,MOTT_BOUN_DISTINCT,MOTT_BOUN_DISTINCT,M,TRUE
VicGovernment,MOTT_COLOUR,MOTT_COLOUR,M,TRUE
VicGovernment,MOTT_CONTRAST,MOTT_CONTRAST,M,TRUE
VicGovernment,MOTT_MOISTURE_STAT,MOTT_MOISTURE_STAT,M,TRUE
VicGovernment,MOTT_HUE_VAL_CHROM,MOTT_MUNSELL_COLOUR,M,TRUE
VicGovernment,MOTT_SIZE,MOTT_SIZE,M,TRUE
VicGovernment,MOTT_TYPE,MOTT_TYPE,M,TRUE
VicGovernment,MR_BIOTIC_AGENT,MR_BIOTIC_AGENT,M,TRUE
VicGovernment,MR_BIOTIC_COMP,MR_BIOTIC_COMP,M,TRUE
VicGovernment,MR_HORIZ_INT,MR_HORIZ_INT,M,TRUE
VicGovernment,MR_PROP_GILGAI,MR_PROP_GILGAI,M,TRUE
VicGovernment,MR_SAMPLED,MR_SAMPLED,M,TRUE
VicGovernment,MR_TYPE,MR_TYPE,M,TRUE
VicGovernment,MR_VERTICAL_INT,MR_VERTICAL_INT,M,TRUE
VicGovernment,O_TYPE,O_TYPE,M,TRUE
VicGovernment,O_OTHER_ER_TYPE,OTHER_ER_TYPE,M,TRUE
VicGovernment,P10_CF_C,P10_CF_C,L,TRUE
VicGovernment,P10_CF_CS,P10_CF_CS,L,TRUE
VicGovernment,P10_CF_FS,P10_CF_FS,L,TRUE
VicGovernment,P10_CF_Z,P10_CF_Z,L,TRUE
VicGovernment,P10_GRAV,P10_GRAV,L,TRUE
VicGovernment,P10_HYD_C,P10_HYD_C,L,TRUE
VicGovernment,P10_HYD_CS,P10_HYD_CS,L,TRUE
VicGovernment,P10_HYD_FS,P10_HYD_FS,L,TRUE
VicGovernment,P10_HYD_Z,P10_HYD_Z,L,TRUE
VicGovernment,P10_NR_C,P10_NR_C,L,TRUE
VicGovernment,P10_NR_CS,P10_NR_CS,L,TRUE
VicGovernment,P10_NR_FS,P10_NR_FS,L,TRUE
VicGovernment,P10_NR_S,P10_NR_S,L,TRUE
VicGovernment,P10_NR_Z,P10_NR_Z,L,TRUE
VicGovernment,P10_PB_C,P10_PB_C,L,TRUE
VicGovernment,P10_PB_CS,P10_PB_CS,L,TRUE
VicGovernment,P10_PB_FS,P10_PB_FS,L,TRUE
VicGovernment,P10_PB_Z,P10_PB_Z,L,TRUE
VicGovernment,P10_PB1_C,P10_PB1_C,L,TRUE
VicGovernment,P10_PB1_CS,P10_PB1_CS,L,TRUE
VicGovernment,P10_PB1_FS,P10_PB1_FS,L,TRUE
VicGovernment,P10_PB1_Z,P10_PB1_Z,L,TRUE
VicGovernment,P10_S_0.20,P10_S_0.20,L,TRUE
VicGovernment,P10_S_0.48,P10_S_0.48,L,TRUE
VicGovernment,P10_S_1,P10_S_1,L,TRUE
VicGovernment,P10_S_1000,P10_S_1000,L,TRUE
VicGovernment,P10_S_125,P10_S_125,L,TRUE
VicGovernment,P10_S_15.6,P10_S_15.6,L,TRUE
VicGovernment,P10_S_2,P10_S_2,L,TRUE
VicGovernment,P10_S_20,P10_S_20,L,TRUE
VicGovernment,P10_S_2000,P10_S_2000,L,TRUE
VicGovernment,P10_S_250,P10_S_250,L,TRUE
VicGovernment,P10_S_3.9,P10_S_3.9,L,TRUE
VicGovernment,P10_S_31.2,P10_S_31.2,L,TRUE
VicGovernment,P10_S_500,P10_S_500,L,TRUE
