Organisation,OrigPropertyCode,ObservedProperty,DataType,StandardCode
NSWGovernment,N516.01.Fs,N516.01.Fs,L,TRUE
NSWGovernment,N516.01.Gr,N516.01.Gr,L,TRUE
NSWGovernment,N516.01.Si,N516.01.Si,L,TRUE
NSWGovernment,N517.99.Cl,P10_HYD_C,L,TRUE
NSWGovernment,N517.99.Cs,P10_HYD_CS,L,TRUE
NSWGovernment,N517.99.Fs,P10_HYD_FS,L,TRUE
NSWGovernment,N517.99.Gr,P10_GRAV,L,TRUE
NSWGovernment,N517.99.Si,P10_HYD_Z,L,TRUE
NSWGovernment,N517.99.St,N517.99.St,L,TRUE
NSWGovernment,N517.99.Zl,N517.99.Zl,L,TRUE
NSWGovernment,N518.01,P5_LS,L,TRUE
NSWGovernment,N518.99,N518.99,L,TRUE
NSWGovernment,N519.01,N519.01,L,TRUE
NSWGovernment,N519.03,N519.03,L,TRUE
NSWGovernment,N550.01,N550.01,L,TRUE
NSWGovernment,N550.02,N550.02,L,TRUE
NSWGovernment,N552.01,N552.01,L,TRUE
NSWGovernment,N552.02,N552.02,L,TRUE
NSWGovernment,N552.03,N552.03,L,TRUE
NSWGovernment,N5A1,5A1,L,TRUE
NSWGovernment,N5A2A,5A2a,L,TRUE
NSWGovernment,N5A2B,5A2b,L,TRUE
NSWGovernment,N6A1,6A1,L,TRUE
NSWGovernment,N6B1,6B1,L,TRUE
NSWGovernment,N6B2,6B2,L,TRUE
NSWGovernment,N6B2B,6B2b,L,TRUE
NSWGovernment,N6B3,6B3,L,TRUE
NSWGovernment,N7A1,7A1,L,TRUE
NSWGovernment,N7A2A,7A2a,L,TRUE
NSWGovernment,N7A2B,7A2b,L,TRUE
NSWGovernment,N7A5,7A5,L,TRUE
NSWGovernment,N7B1B,7B1b,L,TRUE
NSWGovernment,N7C1F,7C1f,L,TRUE
NSWGovernment,N7C2B.No3.N,7C2b,L,TRUE
NSWGovernment,N9B2,9B2,L,TRUE
NSWGovernment,N9D1,9D1,L,TRUE
NSWGovernment,N9E1,90,L,TRUE
NSWGovernment,N9I1,9I1,L,TRUE
NSWGovernment,N9I2B,9I2b,L,TRUE
NSWGovernment,N9Z1,N9Z1,L,TRUE
NSWGovernment,Naswat,Naswat,L,FALSE
NSWGovernment,ASCclaycontentA,ASCclaycontentA,M,FALSE
NSWGovernment,ASCclaycontentB,ASCclaycontentB,M,FALSE
NSWGovernment,ASCconfidence,o_asc_conf,M,TRUE
NSWGovernment,ASCgravelcontent,O_ASC_FAM2,M,TRUE
NSWGovernment,ASCGreatGroup,O_ASC_GG,M,TRUE
NSWGovernment,ASChorizonthickness,O_ASC_FAM1,M,TRUE
NSWGovernment,ASCmaxtextureA,O_ASC_FAM3,M,TRUE
NSWGovernment,ASCmaxtextureB,O_ASC_FAM4,M,TRUE
NSWGovernment,ASCOrder,O_ASC_ORD,M,TRUE
NSWGovernment,ASCprofiledepth,O_ASC_FAM5,M,TRUE
NSWGovernment,ASCSubgroup,O_ASC_SUBG,M,TRUE
NSWGovernment,ASCSuborder,O_ASC_SUBORD,M,TRUE
NSWGovernment,Aspect,o_aspect,M,TRUE
NSWGovernment,Baseofobservation,Baseofobservation,M,TRUE
NSWGovernment,Boundarydistinctiveness,H_BOUND_DISTINCT,M,TRUE
NSWGovernment,Boundaryshape,H_BOUND_SHAPE,M,TRUE
NSWGovernment,Boundlower,h_lower_depth,M,TRUE
NSWGovernment,Boundupper,h_upper_depth,M,TRUE
NSWGovernment,Chemicaltestshydrochloricacid,h_carbonate_eff,M,TRUE
NSWGovernment,Chemicaltestshydrogenperoxide,Chemicaltestshydrogenperoxide,M,FALSE
NSWGovernment,Chemicaltestssilvernitrate,Chemicaltestssilvernitrate,M,FALSE
NSWGovernment,Colourcolourmodifier,Colourcolourmodifier,M,FALSE
NSWGovernment,Colourdrymunsellcolourchroma,col_chroma,M,TRUE
NSWGovernment,Colourdrymunsellcolourhue,COL_HUE,M,TRUE
NSWGovernment,Colourdrymunsellcolourhuevalue,col_value,M,TRUE
NSWGovernment,Colourdrymunsellcolourresolveddescription,Colourdrymunsellcolourresolveddescription,M,FALSE
NSWGovernment,Colourdrymunsellcolourvalue,Colourdrymunsellcolourvalue,M,FALSE
NSWGovernment,Colourgeneralcolour,Colourgeneralcolour,M,FALSE
NSWGovernment,Colourisbellcolour,Colourisbellcolour,M,FALSE
NSWGovernment,Colourmoistmunsellcolourchroma,Colourmoistmunsellcolourchroma,M,FALSE
NSWGovernment,Colourmoistmunsellcolourhue,Colourmoistmunsellcolourhue,M,FALSE
NSWGovernment,Colourmoistmunsellcolourhuevalue,Colourmoistmunsellcolourhuevalue,M,FALSE
NSWGovernment,Colourmoistmunsellcolourresolveddescription,Colourmoistmunsellcolourresolveddescription,M,FALSE
NSWGovernment,Colourmoistmunsellcolourvalue,Colourmoistmunsellcolourvalue,M,FALSE
NSWGovernment,Consistencedegreeofplasticity,h_plasticity_deg,M,TRUE
NSWGovernment,Consistencedisruptivetest,Consistencedisruptivetest,M,FALSE
NSWGovernment,Consistenceshearingtest,Consistenceshearingtest,M,FALSE
NSWGovernment,Consistencestickiness,H_STICKINESS,M,TRUE
NSWGovernment,Consistencetexturemodifier,Consistencetexturemodifier,M,FALSE
NSWGovernment,Consistencetoughness,strg_class,M,TRUE
NSWGovernment,ContributorID,offr_code,M,TRUE
NSWGovernment,ContributorName,offr_name,M,TRUE
NSWGovernment,Cracksandmacroporescrackwidth10To20Mmcrackamount,Cracksandmacroporescrackwidth10To20Mmcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporescrackwidth20To50Mmcrackamount,Cracksandmacroporescrackwidth20To50Mmcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporescrackwidth5To10Mmcrackamount,Cracksandmacroporescrackwidth5To10Mmcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporescrackwidthgreaterthan50Mmcrackamount,Cracksandmacroporescrackwidthgreaterthan50Mmcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporescrackwidthlessthan5Mmcrackamount,Cracksandmacroporescrackwidthlessthan5Mmcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporescrackwidthunspecifiedwidthcrackamount,Cracksandmacroporescrackwidthunspecifiedwidthcrackamount,M,FALSE
NSWGovernment,Cracksandmacroporesmacroporecoarsegreaterthan5Mmmacroporeamount,Cracksandmacroporesmacroporecoarsegreaterthan5Mmmacroporeamount,M,FALSE
NSWGovernment,Cracksandmacroporesmacroporefine1To2Mmmacroporeamount,Cracksandmacroporesmacroporefine1To2Mmmacroporeamount,M,FALSE
NSWGovernment,Cracksandmacroporesmacroporemedium2To5Mmmacroporeamount,Cracksandmacroporesmacroporemedium2To5Mmmacroporeamount,M,FALSE
NSWGovernment,Cracksandmacroporesmacroporeunspecifieddiametermacroporeamount,Cracksandmacroporesmacroporeunspecifieddiametermacroporeamount,M,FALSE
NSWGovernment,Cracksandmacroporesmacroporeveryfinelessthan1Mmmacroporeamount,Cracksandmacroporesmacroporeveryfinelessthan1Mmmacroporeamount,M,FALSE
NSWGovernment,Elevation,o_elevation,M,TRUE
NSWGovernment,Erodibilitytestsbolusformationtest,Erodibilitytestsbolusformationtest,M,FALSE
NSWGovernment,Erodibilitytestscrumbtest,Erodibilitytestscrumbtest,M,FALSE
NSWGovernment,Erodibilitytestsfielddilatencytest,Erodibilitytestsfielddilatencytest,M,FALSE
NSWGovernment,Erodibilitytestssoilerodibilityclass,Erodibilitytestssoilerodibilityclass,M,FALSE
NSWGovernment,Erosionhazard,Erosionhazard,M,FALSE
NSWGovernment,Erosiontypegullydepth,oc_gully_depth,M,FALSE
NSWGovernment,ErosiontypeNoneseverity,ErosiontypeNoneseverity,M,FALSE
NSWGovernment,Estimatedeffectiverootingdepth,Estimatedeffectiverootingdepth,M,FALSE
NSWGovernment,Factualkeyclass,o_ppf,M,TRUE
NSWGovernment,Fieldtextureclayfraction,Fieldtextureclayfraction,M,FALSE
NSWGovernment,Fieldtextureorganicfraction,Fieldtextureorganicfraction,M,FALSE
NSWGovernment,Fieldtexturesandfraction,Fieldtexturesandfraction,M,FALSE
NSWGovernment,Fieldtexturetexturegrade,H_TEXTURE,M,TRUE
NSWGovernment,Freewaterdepth,o_depth_water_pref,M,TRUE
NSWGovernment,Geologymapcode,o_sb_lith,M,TRUE
NSWGovernment,Groundcover,Groundcover,M,FALSE
NSWGovernment,GSG,o_gsg,M,TRUE
NSWGovernment,GSGaffinity,GSGaffinity,M,FALSE
NSWGovernment,Gullypresentcondition,o_gully_state,M,TRUE
NSWGovernment,Gullyseverity,o_gully_deg,M,TRUE
NSWGovernment,Hydrologyfloodcategory,o_inund_freq,M,TRUE
