Mottlessubdominantmunsellcolourhue,n,Mottlessubdominantmunsellcolourhue
Mottlessubdominantmunsellcolourhuevalue,n,Mottlessubdominantmunsellcolourhuevalue
Mottlessubdominantmunsellcolourresolveddescription,n,Mottlessubdominantmunsellcolourresolveddescription
Mottlessubdominantmunsellcolourvalue,n,Mottlessubdominantmunsellcolourvalue
Natureofexposure1,n,o_type
Natureofexposure2,n,Natureofexposure2
Numberoflayers,n,Numberoflayers
Outcropsameas,n,Outcropsameas
Pedcoatingamount,n,cutan_abun
Pedcoatingdistinctiveness,n,cutan_distinct
Pedcoatingtype,n,cutan_type
Phototaken,n,Phototaken
Presenceoffreewater,n,Presenceoffreewater
Profiledate,n,o_date_desc
Profiledrainage,y,O_DRAINAGE
Profilenotes,y,O_NOTES
Profilenumber,n,S_ID
Profilepermeability,y,O_PERMEABILITY
Rillseverity,y,o_rill_deg
Rockoutcrop,y,ro_abun
Rootsrootdistribution,n,Rootsrootdistribution
Rootsrootsize1To2Mm,n,Rootsrootsize1To2Mm
Rootsrootsize2To5Mm,n,Rootsrootsize2To5Mm
Rootsrootsizegreaterthan5Mm,n,Rootsrootsizegreaterthan5Mm
Rootsrootsizelessthan1Mm,n,Rootsrootsizelessthan1Mm
Rootsrootsizeunspecified,n,Rootsrootsizeunspecified
Rrillpresentcondition,y,o_rill_deg
Runoff,y,O_RUNOFF
Runon,n,Runon
Salinity,n,Salinity
Scaldpresentcondition,y,o_scald_state
Scaldseverity,y,O_SCALD_DEG
Sheetpresentcondition,y,O_SHEET_STATE
Sheetseverity,y,O_SHEET_DEG
Sitedisturbance1,y,dist_type
Sitedisturbance2,n,Sitedisturbance2
Sitemorphology,y,s_morph_type
Siteprocess,n,Siteprocess
Slope,y,s_slope
Slopemeasurementmethod,y,s_slope_eval
Slopemorphology,n,s_morph_type
Soilfaunalactivitydegree,n,Soilfaunalactivitydegree
Soilfaunalactivitytype1,n,Soilfaunalactivitytype1
Soilfaunalactivitytype2,n,Soilfaunalactivitytype2
Soilfaunalactivitytype3,n,Soilfaunalactivitytype3
Soilllandscapegeomorphicclass,n,Soilllandscapegeomorphicclass
Soilmapcode,y,o_map_unit_name
Solumparentmaterial1,n,Solumparentmaterial1
Solumparentmaterial2,n,Solumparentmaterial2
Solumparentmaterial3,n,Solumparentmaterial3
Status,n,Status
Statusasriscontrolsection,n,Statusasriscontrolsection
Statusdentsclassificationdevelopingafter,n,Statusdentsclassificationdevelopingafter
Statusdentsclassificationnumberofoccurrence,n,Statusdentsclassificationnumberofoccurrence
Statusdentsclassificationunripe,n,Statusdentsclassificationunripe
Statushorizoncodehorizon,?,H_DESIG_MASTER
Statushorizoncodeprefix,?,Statushorizoncodeprefix
Statushorizoncodesubdivision,?,h_desig_subdiv
Statushorizonsuffix1,?,H_DESIG_SUFFIX
Statushorizonsuffix2,?,Statushorizonsuffix2
Statusimpeding,n,Statusimpeding
Statussampletaken1,n,Statussampletaken1
Statussampletaken2,n,Statussampletaken2
Statussampletaken3,n,Statussampletaken3
Streambankpresentcondition,n,Streambankpresentcondition
Streambankseverity,n,Streambankseverity
Structureartificialaggregates,n,Structureartificialaggregates
Structuredominantpedshape,y,str_ped_type
Structuredominantpedsize,y,STR_PED_SIZE
Structurefabric,y,FAB_TYPE
Structuregradeofpedality,y,STR_PED_GRADE
Structurepedporosity,n,Structurepedporosity
Structuresubdominant1Pedshape,n,Structuresubdominant1Pedshape
Structuresubdominant1Pedsize,n,Structuresubdominant1Pedsize
Structuresubdominant2Pedshape,n,Structuresubdominant2Pedshape
Structuresubdominant2Pedsize,n,Structuresubdominant2Pedsize
Structurevesicles,n,Structurevesicles
Substrate1,n,o_sb_lith
Substrate2,n,Substrate2
Substrate3,n,Substrate3
Substratestrength,y,o_sb_strength
Surfaceconditioncurrent1,y,scon_stat
Surfaceconditioncurrent2,n,Surfaceconditioncurrent2
Surfaceconditionexpecteddry1,n,Surfaceconditionexpecteddry1
Surfaceconditionexpecteddry2,n,Surfaceconditionexpecteddry2
Surfaceconditionexpectedwet1,n,Surfaceconditionexpectedwet1
Surfaceconditionexpectedwet2,n,Surfaceconditionexpectedwet2
Tunnelpresentcondition,y,o_tunnel_state
Tunnelseverity,y,o_tunnel_deg
Typeofprofileassessment,y,s_type
Typeprofile,n,Typeprofile
Vegetationcrownseparationratio,n,vstr_dist_percent
Vegetationformation,y,Vegetationformation
Vegetationgrowthforms1,y,vstr_growth_form
Vegetationgrowthforms2,n,Vegetationgrowthforms2
Vegetationgrowthforms3,n,Vegetationgrowthforms3
Vegetationgrowthforms4,n,Vegetationgrowthforms4
Vegetationupperstratumheight,n,vstr_height_class
Wavepresentcondition,n,Wavepresentcondition
Waveseverity,n,Waveseverity
Weatheringandalteration1,n,Weatheringandalteration1
Weatheringandalteration2,n,Weatheringandalteration2
Windpresentcondition,y,o_wind_state
Windseverity,y,o_wind_deg
Worldreferencebasersg,n,o_uni_soil_class
WRBprincipalqualifierother,n,WRBprincipalqualifierother
WRBsupplementaryqualifierother,n,WRBsupplementaryqualifierother
