,Property,PropertyType,PropertyGroup,Description.x,TableName,DomainName,DataType,VocabURL
353,1X1_Mn,LaboratoryMeasurement,XRF,Total Mn XRF,LAB_METHODS,,FLOAT,
354,1X1_Na,LaboratoryMeasurement,XRF,Total Na XRF,LAB_METHODS,,FLOAT,
355,1X1_Ni,LaboratoryMeasurement,XRF,Total Ni XRF,LAB_METHODS,,FLOAT,
356,1X1_Pb,LaboratoryMeasurement,XRF,Total Pb XRF,LAB_METHODS,,FLOAT,
357,1X1_Si,LaboratoryMeasurement,XRF,Total Si XRF,LAB_METHODS,,FLOAT,
358,1X1_Sr,LaboratoryMeasurement,XRF,Total Sr XRF,LAB_METHODS,,FLOAT,
359,1X1_Ti,LaboratoryMeasurement,XRF,Total Ti XRF,LAB_METHODS,,FLOAT,
360,1X1_V,LaboratoryMeasurement,XRF,Total V XRF,LAB_METHODS,,FLOAT,
361,1X1_Zn,LaboratoryMeasurement,XRF,Total Zn XRF,LAB_METHODS,,FLOAT,
362,2_LOI,LaboratoryMeasurement,LOSS_ON_IGNITION,Loss on Ignition (%),LAB_METHODS,,FLOAT,
363,20A1,LaboratoryMeasurement,Acid sulfate soils,Chromium reducible S,LAB_METHODS,,FLOAT,
364,20A2,LaboratoryMeasurement,Acid sulfate soils,Total Sulfur - Leco,LAB_METHODS,,FLOAT,
365,20A3,LaboratoryMeasurement,Acid sulfate soils,"Total Sulfur - Combustion, titration end point",LAB_METHODS,,FLOAT,
366,20A4,LaboratoryMeasurement,Acid sulfate soils,"Total Sulfur - Combustion, dry ashing NaCO3, AgBr",LAB_METHODS,,FLOAT,
367,20A5,LaboratoryMeasurement,Acid sulfate soils,Total Sulfur - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction,LAB_METHODS,,FLOAT,
368,20A6,LaboratoryMeasurement,Acid sulfate soils,"Total Sulfur - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids",LAB_METHODS,,FLOAT,
369,20A7,LaboratoryMeasurement,Acid sulfate soils,Total Sulfur - Bromine-Nitric Acid oxidation (Vogel's quantitative inorganic analysis),LAB_METHODS,,FLOAT,
370,20A9,LaboratoryMeasurement,Acid sulfate soils,Total Sulfur - Summation from procedure 20D,LAB_METHODS,,FLOAT,
371,20B1,LaboratoryMeasurement,Acid sulfate soils,SPOCAS acid trail - titratable actual acidity (TAA),LAB_METHODS,,FLOAT,
372,20Ba,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, turbidmetric",LAB_METHODS,,FLOAT,
373,20Bb,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, gravimetric",LAB_METHODS,,FLOAT,
374,20Bc,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, automated colour",LAB_METHODS,,FLOAT,
375,20Bd,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, ion chromatography",LAB_METHODS,,FLOAT,
376,20Be,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfur, ICPAES",LAB_METHODS,,FLOAT,
377,20Bf,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, automated turbidmetric",LAB_METHODS,,FLOAT,
378,20Bg,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable Sulfur - sulfate, indirect, barium remaining by AAS",LAB_METHODS,,FLOAT,
379,20Bh,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable calcium, ICPAES",LAB_METHODS,,FLOAT,
380,20Bj,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable calcium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
381,20Bk,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable calcium, titration EDTA",LAB_METHODS,,FLOAT,
382,20Bm,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable magnesium, ICPAES",LAB_METHODS,,FLOAT,
383,20Bn,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable magnesium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
384,20Bp,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable magnesium, titration EDTA",LAB_METHODS,,FLOAT,
385,20Bs,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable sodium, ICPAES",LAB_METHODS,,FLOAT,
386,20Bt,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable sodium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
387,20Bu,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable sodium, flame emission",LAB_METHODS,,FLOAT,
388,20Bv,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable potassium, ICPAES",LAB_METHODS,,FLOAT,
389,20Bw,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable potassium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
390,20Bx,LaboratoryMeasurement,Acid sulfate soils,"4M HCl extractable potassium, flame emission",LAB_METHODS,,FLOAT,
391,20C1_ANC,LaboratoryMeasurement,Acid sulfate soils,SPOCAS acid trail - Net Acid Neutralising Capacity (ANC),LAB_METHODS,,FLOAT,
392,20C1_TPA,LaboratoryMeasurement,Acid sulfate soils,SPOCAS acid trail - titratable peroxide acidity (TPA),LAB_METHODS,,FLOAT,
393,20C1a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and turbidmetric, SO4",LAB_METHODS,,FLOAT,
394,20C1b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and Gravimetric, SO4",LAB_METHODS,,FLOAT,
395,20C1c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and Auto colour, SO4",LAB_METHODS,,FLOAT,
396,20C1d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and Ion chromo, SO4",LAB_METHODS,,FLOAT,
397,20C1e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and ICPAES, S",LAB_METHODS,,FLOAT,
398,20C1f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
399,20C1g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by XRF and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
400,20C2a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and turbidmetric, SO4",LAB_METHODS,,FLOAT,
401,20C2b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and Gravimetric, SO4",LAB_METHODS,,FLOAT,
402,20C2c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and Auto colour, SO4",LAB_METHODS,,FLOAT,
403,20C2d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and Ion chromo, SO4",LAB_METHODS,,FLOAT,
404,20C2e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and ICPAES, S",LAB_METHODS,,FLOAT,
405,20C2f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
406,20C2g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Leco and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
407,20C3a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and turbidmetric, SO4",LAB_METHODS,,FLOAT,
408,20C3b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and Gravimetric, SO4",LAB_METHODS,,FLOAT,
409,20C3c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and Auto colour, SO4",LAB_METHODS,,FLOAT,
410,20C3d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and Ion chromo, SO4",LAB_METHODS,,FLOAT,
411,20C3e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and ICPAES, S",LAB_METHODS,,FLOAT,
412,20C3f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
413,20C3g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, titration and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
414,20C4a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and turbidmetric, SO4",LAB_METHODS,,FLOAT,
415,20C4b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and Gravimetric, SO4",LAB_METHODS,,FLOAT,
416,20C4c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto colour, SO4",LAB_METHODS,,FLOAT,
417,20C4d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and Ion chromo, SO4",LAB_METHODS,,FLOAT,
418,20C4e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and ICPAES, S",LAB_METHODS,,FLOAT,
419,20C4f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
420,20C4g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Combustion, dry ashing and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
421,20C5a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and turbidmetric, SO4",LAB_METHODS,,FLOAT,
422,20C5b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Gravimetric, SO4",LAB_METHODS,,FLOAT,
423,20C5c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto colour, SO4",LAB_METHODS,,FLOAT,
424,20C5d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Ion chromo, SO4",LAB_METHODS,,FLOAT,
425,20C5e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and ICPAES, S",LAB_METHODS,,FLOAT,
426,20C5f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
427,20C5g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
428,20C6a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and turbidmetric, SO4",LAB_METHODS,,FLOAT,
429,20C6b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and Gravimetric, SO4",LAB_METHODS,,FLOAT,
430,20C6c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and Auto colour, SO4",LAB_METHODS,,FLOAT,
431,20C6d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and Ion chromo, SO4",LAB_METHODS,,FLOAT,
432,20C6e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and ICPAES, S",LAB_METHODS,,FLOAT,
433,20C6f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
434,20C6g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Acid ox and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
435,20C7a,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and turbidmetric, SO4",LAB_METHODS,,FLOAT,
436,20C7b,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and Gravimetric, SO4",LAB_METHODS,,FLOAT,
437,20C7c,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and Auto colour, SO4",LAB_METHODS,,FLOAT,
438,20C7d,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and Ion chromo, SO4",LAB_METHODS,,FLOAT,
439,20C7e,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and ICPAES, S",LAB_METHODS,,FLOAT,
440,20C7f,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and Auto turbidmetric, SO4",LAB_METHODS,,FLOAT,
441,20C7g,LaboratoryMeasurement,Acid sulfate soils,"Total Oxidisable Sulfur by Br-Nitric ox and Indirect Ba by AAS, SO4",LAB_METHODS,,FLOAT,
442,20D1,LaboratoryMeasurement,Acid sulfate soils,Total oxidisable sulfur prewash 4M HCl and H2O - XRF,LAB_METHODS,,FLOAT,
443,20D1_CA,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable Ca,LAB_METHODS,,FLOAT,
444,20D1_MG,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable Mg,LAB_METHODS,,FLOAT,
445,20D1_S,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable S,LAB_METHODS,,FLOAT,
446,20D2,LaboratoryMeasurement,Acid sulfate soils,Total oxidisable sulfur prewash 4M HCl and H2O - Leco,LAB_METHODS,,FLOAT,
447,20D3,LaboratoryMeasurement,Acid sulfate soils,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, titration end point",LAB_METHODS,,FLOAT,
448,20D4,LaboratoryMeasurement,Acid sulfate soils,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, dry ashing NaCO3, AgBr",LAB_METHODS,,FLOAT,
449,20D5,LaboratoryMeasurement,Acid sulfate soils,Total oxidisable sulfur prewash 4M HCl and H2O - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction,LAB_METHODS,,FLOAT,
450,20D6,LaboratoryMeasurement,Acid sulfate soils,"Total oxidisable sulfur prewash 4M HCl and H2O - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids",LAB_METHODS,,FLOAT,
451,20E1_CA,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable Ca after peroxide oxidation,LAB_METHODS,,FLOAT,
452,20E1_MG,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable Mg after peroxide oxidation,LAB_METHODS,,FLOAT,
453,20E1_S,LaboratoryMeasurement,Acid sulfate soils,1 M KCl - extractable S after peroxide oxidation,LAB_METHODS,,FLOAT,
454,20F1,LaboratoryMeasurement,Acid sulfate soils,"Sulfur - 4 M HCl extraction, ICPAES",LAB_METHODS,,FLOAT,
455,20F2,LaboratoryMeasurement,Acid sulfate soils,"Sulfur - 4 M HCl extraction, ion chromatography",LAB_METHODS,,FLOAT,
456,20G1,LaboratoryMeasurement,Acid sulfate soils,Peroxide residual acid soluble sulfur,LAB_METHODS,,FLOAT,
457,20H1,LaboratoryMeasurement,Acid sulfate soils,Acid neutralising capacity - acid reacted and back titration,LAB_METHODS,,FLOAT,
458,20I1,LaboratoryMeasurement,Acid sulfate soils,Acid neutralising capacity - from SPOCAS,LAB_METHODS,,FLOAT,
459,20J,LaboratoryMeasurement,Acid sulfate soils,S nas,LAB_METHODS,,FLOAT,
460,20J1_RQNC,LaboratoryMeasurement,Acid sulfate soils,Field approximation of ASS hazard,LAB_METHODS,,FLOAT,
461,20J1_TAA,LaboratoryMeasurement,Acid sulfate soils,Field approximation of ASS hazard,LAB_METHODS,,FLOAT,
462,20J1_TSA,LaboratoryMeasurement,Acid sulfate soils,Field approximation of ASS hazard,LAB_METHODS,,FLOAT,
463,20K1,LaboratoryMeasurement,Acid sulfate soils,Quick field approximation of ASS presence and associated lime reqirement for drain spoil,LAB_METHODS,,FLOAT,
464,21A,LaboratoryMeasurement,PH,"pH of filtered 1:20 1M KCl extract, overnight shake (TAA)",LAB_METHODS,,FLOAT,
465,21Af,LaboratoryMeasurement,PH,pH done in field on saturated soil sample using pH probe,LAB_METHODS,,FLOAT,
466,21B,LaboratoryMeasurement,PH,pH of filtered 1:20 1M KCl after peroxide digestion,LAB_METHODS,,FLOAT,
467,21Bf,LaboratoryMeasurement,PH,pH done in field of 30% peroxide reaction,LAB_METHODS,,FLOAT,
468,21C,LaboratoryMeasurement,SULFUR,KCl extractable S,LAB_METHODS,,FLOAT,
469,21Ca,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, turbidmetric",LAB_METHODS,,FLOAT,
470,21Cb,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, gravimetric",LAB_METHODS,,FLOAT,
471,21Cc,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, automated colour",LAB_METHODS,,FLOAT,
472,21Cd,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, ion chromatography",LAB_METHODS,,FLOAT,
473,21Ce,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfur, ICPAES",LAB_METHODS,,FLOAT,
474,21Cf,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, automated turbidmetric",LAB_METHODS,,FLOAT,
475,21Cg,LaboratoryMeasurement,SULFUR,"KCL extractable S - sulfate, indirect, barium remaining by AAS",LAB_METHODS,,FLOAT,
476,21Ch,LaboratoryMeasurement,SULFUR,"KCL extractable S - calcium, ICPAES",LAB_METHODS,,FLOAT,
477,21Cj,LaboratoryMeasurement,SULFUR,"KCL extractable S - calcium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
478,21Ck,LaboratoryMeasurement,SULFUR,"KCL extractable S - calcium, titration EDTA",LAB_METHODS,,FLOAT,
479,21Cm,LaboratoryMeasurement,SULFUR,"KCL extractable S - magnesium, ICPAES",LAB_METHODS,,FLOAT,
480,21Cn,LaboratoryMeasurement,SULFUR,"KCL extractable S - magnesium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
481,21Cp,LaboratoryMeasurement,SULFUR,"KCL extractable S - magnesium, titration EDTA",LAB_METHODS,,FLOAT,
482,21Cs,LaboratoryMeasurement,SULFUR,"KCL extractable S - sodium, ICPAES",LAB_METHODS,,FLOAT,
483,21Ct,LaboratoryMeasurement,SULFUR,"KCL extractable S - sodium, atomic absorption (AAS)",LAB_METHODS,,FLOAT,
484,21Cu,LaboratoryMeasurement,SULFUR,"KCL extractable S - sodium, flame emission",LAB_METHODS,,FLOAT,
485,21D,LaboratoryMeasurement,SULFUR,Peroxide sulfur after peroxide digestion,LAB_METHODS,,FLOAT,
486,21Da,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, turbidmetric",LAB_METHODS,,FLOAT,
487,21Db,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, gravimetric",LAB_METHODS,,FLOAT,
488,21Dc,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, automated colour",LAB_METHODS,,FLOAT,
489,21Dd,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, ion chromatography",LAB_METHODS,,FLOAT,
490,21De,LaboratoryMeasurement,SULFUR,"1M KCL,1:20,after ox.,ICP",LAB_METHODS,,FLOAT,
491,21Df,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur after ox - automated turbidmetric,LAB_METHODS,,FLOAT,
492,21Dg,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, indirect, barium remaining by AAS",LAB_METHODS,,FLOAT,
493,21E,LaboratoryMeasurement,SULFUR,Peroxide oxidisable S - 21D minus 21C,LAB_METHODS,,FLOAT,
494,21Ee,LaboratoryMeasurement,SULFUR,Peroxide oxidisable S - 21De minus 21Ce,LAB_METHODS,,FLOAT,
495,21F,LaboratoryMeasurement,TAA,Total Actual Acidity (TAA) in 1M KCl titrated to pH 5.5,LAB_METHODS,,FLOAT,
496,21G,LaboratoryMeasurement,TPA,Total Potential Acidity (TPA) in 1M KCl peroxide digestion titrated to pH 5.5,LAB_METHODS,,FLOAT,
497,21H,LaboratoryMeasurement,TSA,Total Sulfidic Acidity (TSA) - 21G minus 21F,LAB_METHODS,,FLOAT,
498,21J,LaboratoryMeasurement,TAA,TAA - calculated as equivalent pyrite S%,LAB_METHODS,,FLOAT,
499,21K,LaboratoryMeasurement,TPA,TPA -calculated as equivalent pyrite S%,LAB_METHODS,,FLOAT,
500,21L,LaboratoryMeasurement,TSA,TSA - calculated as equivalent pyrite S%,LAB_METHODS,,FLOAT,
501,21M,LaboratoryMeasurement,SODIUM,Na extracted in 1M KCl (TAA),LAB_METHODS,,FLOAT,
502,21Ms,LaboratoryMeasurement,SODIUM,"Sodium, before ox. - ICPAES",LAB_METHODS,,FLOAT,
503,21Mt,LaboratoryMeasurement,SODIUM,"Sodium, before ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
504,21Mu,LaboratoryMeasurement,SODIUM,"Sodium, before ox. - flame emission",LAB_METHODS,,FLOAT,
505,21N,LaboratoryMeasurement,SODIUM,Na in peroxide digest (TPA),LAB_METHODS,,FLOAT,
506,21Ns,LaboratoryMeasurement,SODIUM,"Sodium, after ox. - ICPAES",LAB_METHODS,,FLOAT,
507,21Nt,LaboratoryMeasurement,SODIUM,"Sodium, after ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
508,21Nu,LaboratoryMeasurement,SODIUM,"Sodium, after ox. - flame emission",LAB_METHODS,,FLOAT,
509,21P,LaboratoryMeasurement,SODIUM,Na difference (21N minus 21M),LAB_METHODS,,FLOAT,
510,21Ps,LaboratoryMeasurement,SODIUM,Na difference (21Ns minus 21Ms)  - ICPAES,LAB_METHODS,,FLOAT,
511,21Q,LaboratoryMeasurement,NA,Quick residual neutralising capacity,LAB_METHODS,,FLOAT,
512,21R,LaboratoryMeasurement,NA,"Quick residual neutralising capacity (21Q), calculated as equivalent S%",LAB_METHODS,,FLOAT,
513,21S,LaboratoryMeasurement,MAGNESIUM,Mg extracted in 1M KCl (TAA),LAB_METHODS,,FLOAT,
514,21Sm,LaboratoryMeasurement,MAGNESIUM,"Magnesium, before ox. - ICPAES",LAB_METHODS,,FLOAT,
515,21Sn,LaboratoryMeasurement,MAGNESIUM,"Magnesium, before ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
516,21Sp,LaboratoryMeasurement,MAGNESIUM,"Magnesium, before ox. - titration EDTA",LAB_METHODS,,FLOAT,
517,21T,LaboratoryMeasurement,MAGNESIUM,Mg in peroxide digest (TPA),LAB_METHODS,,FLOAT,
518,21Tm,LaboratoryMeasurement,MAGNESIUM,"Magnesium, after ox. - ICPAES",LAB_METHODS,,FLOAT,
519,21Tn,LaboratoryMeasurement,MAGNESIUM,"Magnesium, after ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
520,21Tp,LaboratoryMeasurement,MAGNESIUM,"Magnesium, after ox.  - titration EDTA",LAB_METHODS,,FLOAT,
521,21U,LaboratoryMeasurement,MAGNESIUM,Mg reacted with acid generated by peroxide digestion (21T minus 21S),LAB_METHODS,,FLOAT,
522,21Um,LaboratoryMeasurement,MAGNESIUM,Mg reacted with acid generated by peroxide digestion (21Tm minus 21Sm) - ICPAES,LAB_METHODS,,FLOAT,
523,21V,LaboratoryMeasurement,CALCIUM,Ca extracted in 1M KCl (TAA),LAB_METHODS,,FLOAT,
524,21Vh,LaboratoryMeasurement,CALCIUM,"Calcium, before ox. - ICPAES",LAB_METHODS,,FLOAT,
525,21Vj,LaboratoryMeasurement,CALCIUM,"Calcium, before ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
526,21Vk,LaboratoryMeasurement,CALCIUM,"Calcium, before ox.  - titration EDTA",LAB_METHODS,,FLOAT,
527,21W,LaboratoryMeasurement,CALCIUM,Ca in peroxide digest (TPA),LAB_METHODS,,FLOAT,
528,21Wh,LaboratoryMeasurement,CALCIUM,"Calcium, after ox. - ICPAES",LAB_METHODS,,FLOAT,
529,21Wj,LaboratoryMeasurement,CALCIUM,"Calcium, after ox. - atomic absorption (AAS)",LAB_METHODS,,FLOAT,
530,21Wk,LaboratoryMeasurement,CALCIUM,"Calcium, after ox. - titration EDTA",LAB_METHODS,,FLOAT,
531,21X,LaboratoryMeasurement,CALCIUM,Ca reacted with acid generated by peroxide digestion (21W minus 21V),LAB_METHODS,,FLOAT,
532,21Xh,LaboratoryMeasurement,CALCIUM,Ca reacted with acid generated by peroxide digestion (21Wh minus 21Vh) - ICPAES,LAB_METHODS,,FLOAT,
533,22A,LaboratoryMeasurement,SULFUR,"Sulfur, Acid Volitile",LAB_METHODS,,FLOAT,
534,22B,LaboratoryMeasurement,SULFUR,Chromium Reducible Sulfur,LAB_METHODS,,FLOAT,
535,23A,LaboratoryMeasurement,PH,"pH of 1:40 1M KCl suspension 4h shake, overnight stand (TAA)",LAB_METHODS,,FLOAT,
536,23A1,LaboratoryMeasurement,AAS,Tri-Acid Digest (Heavy metal) AAS hydride,LAB_METHODS,,FLOAT,
537,23Af,LaboratoryMeasurement,PH,pH done in field on saturated soil sample using pH probe,LAB_METHODS,,FLOAT,
538,23B,LaboratoryMeasurement,PH,pH of  1:25 suspension after peroxide digestion,LAB_METHODS,,FLOAT,
539,23Bf,LaboratoryMeasurement,PH,pH done in field of 30% peroxide reaction,LAB_METHODS,,FLOAT,
540,23C,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur before ox,LAB_METHODS,,FLOAT,
541,23Ca,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur before ox - sulfate, turbidmetric",LAB_METHODS,,FLOAT,
542,23Cb,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur before ox - sulfate, gravimetric",LAB_METHODS,,FLOAT,
543,23Cc,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur before ox - sulfate, automated colour",LAB_METHODS,,FLOAT,
544,23Cd,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur before ox - sulfate, ion chromatography",LAB_METHODS,,FLOAT,
545,23Ce,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur before ox - ICPAES,LAB_METHODS,,FLOAT,
546,23Cf,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur before ox - automated turbidmetric,LAB_METHODS,,FLOAT,
547,23Cg,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur before ox - sulfate, indirect, barium remaining by AAS",LAB_METHODS,,FLOAT,
548,23D,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur after ox - sulfate,LAB_METHODS,,FLOAT,
549,23Da,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, turbidmetric",LAB_METHODS,,FLOAT,
550,23Db,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, gravimetric",LAB_METHODS,,FLOAT,
551,23Dc,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, automated colour",LAB_METHODS,,FLOAT,
552,23Dd,LaboratoryMeasurement,SULFUR,"KCl Extractable sulfur after ox - sulfate, ion chromatography",LAB_METHODS,,FLOAT,
553,23De,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur after ox - ICPAES,LAB_METHODS,,FLOAT,
554,23Df,LaboratoryMeasurement,SULFUR,KCl Extractable sulfur after ox - automated turbidmetric,LAB_METHODS,,FLOAT,
