Property,PropertyType,PropertyGroup,Description,TableName,DataType,VocabURL
10_BC,LaboratoryMeasurement,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10A_NR,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10A1,LaboratoryMeasurement,SULFUR,Total sulfur - S(%) - X-ray fluorescence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10A1
10A3,LaboratoryMeasurement,SULFUR,,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10B,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Phosphate extractable sulfur,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B
10B_NR,LaboratoryMeasurement,SULFUR,Extractable sulfur (mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
10B1,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B1
10B2,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B2
10B3,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B3
10B4,LaboratoryMeasurement,SULFUR,Calcium phosphate-extractable sulfur - ion chromatography,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10B4
10C1,LaboratoryMeasurement,SULFUR,"Calcium phosphate-extractable sulfur - ICPAES, + charcoal (CPC-S)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10C1
10D1,LaboratoryMeasurement,SULFUR,Potassium chloride - 40 sulfur (KCl-40)-S,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10D1
10Z1,LaboratoryMeasurement,SULFUR,,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/10
11A1,LaboratoryMeasurement,GYPSUM,Total gypsum,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/11A1
11A2,LaboratoryMeasurement,GYPSUM,Total gypsum - MIR reflectance spectroscopy,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/11A2
12_HCL_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Total acid(HCl) extractable Fe2O3,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HCL_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - Total acid(HCl),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HF_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HF_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HF_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HF_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - HF/HClO4 Digest,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_HF+_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - HF/HClO4 Digest(Fe2O3),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_NR_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_NR_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_NR_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_NR_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_XRF_CU,LaboratoryMeasurement,Micronutrients,Total element - Cu(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_XRF_FE,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_XRF_FEO,LaboratoryMeasurement,Micronutrients,Total element - Fe(%) - X-Ray Fuoresence (Fe2O3),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_XRF_MN,LaboratoryMeasurement,Micronutrients,Total element - Mn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12_XRF_ZN,LaboratoryMeasurement,Micronutrients,Total element - Zn(mg/kg) - X-Ray Fuoresence,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12A1_AL,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese,aluminium and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12A1_CU,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12A1_FE,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12A1_MN,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12A1_ZN,LaboratoryMeasurement,Micronutrients,"DTPA - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12B1_CU,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable copper,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12B1_FE,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable Iron,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12B1_MN,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable manganese,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12B1_ZN,LaboratoryMeasurement,Micronutrients,Ammonium bicarbonate/EDTA - extractable zinc,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/_12
12C1,LaboratoryMeasurement,Micronutrients,Calcium chloride extractable boron - manual colour,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/12C1
12C2,LaboratoryMeasurement,Micronutrients,Calcium chloride extractable boron - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/12C2
12C3,LaboratoryMeasurement,Micronutrients,"Water extract, ICP",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
12D1_CU,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
12D1_FE,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
12D1_MN,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
12D1_ZN,LaboratoryMeasurement,Micronutrients,"0.1 M HCl - extractable copper, zinc, manganese and iron",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
1.20E+02,LaboratoryMeasurement,Micronutrients,Calcium chloride - extractable Mo,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13_C_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Method recorded as C,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13_NR_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Al(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13_NR_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13_NR_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Mn(%) - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13A1,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Si,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13A1
13A1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable aluminium,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13A1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable iron,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13A1_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable manganese,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13A1_SI,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Oxalate-extractable silicon,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13B1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable aluminium,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13B1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Pyrophosphate-extractable iron,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C_C_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe (Free) % - Method recorded as C,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C1_AL,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C1_FE,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C1_FE203,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Extractable Fe(Free) % - Citrate/Dithionite Extractable Fe2O3,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C1_MN,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13C1_SI,LaboratoryMeasurement,"Extractable iron, aluminium and silicon","Citrate/dithionite-extractable iron, aluminium, Manganese and Silicon",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13
13D1,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - automated colour,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13D1
13D2,LaboratoryMeasurement,"Extractable iron, aluminium and silicon",Acid-extractable soil silicon - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/13D2
14_NR_S,LaboratoryMeasurement,Saturation extracts,NA,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14A1,LaboratoryMeasurement,Saturation extracts,Saturation extract - filter suction,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14A1
14A2,LaboratoryMeasurement,Saturation extracts,Saturation extract - automatic extractor,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14A2
14A3,LaboratoryMeasurement,Saturation extracts,"Saturation extract - centrifuge, closed system",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14A3
14A4,LaboratoryMeasurement,Saturation extracts,"Saturation extract - centrifuge, Gillman",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14A4
14B1,LaboratoryMeasurement,Saturation extracts,Electrical conductivity/SE,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14B1
14C1,LaboratoryMeasurement,Saturation extracts,pH/SE,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14C1
14D1_BC,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D1_BiCar,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D1_C,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D1_Carb,LaboratoryMeasurement,Saturation extracts,Carbonate/SE - potentiometric titration,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D2_BC,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D2_BiCar,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE  - indicator method,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D2_C,LaboratoryMeasurement,Saturation extracts,Bicarbonate/SE and carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14D2_Carb,LaboratoryMeasurement,Saturation extracts,Carbonate/SE - indicator method,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
1.40E+02,LaboratoryMeasurement,Saturation extracts,Chloride/SE - potentiometric titration,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
1.40E+03,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14E2a,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14E2a
14E2b,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14E2b
1.40E+04,LaboratoryMeasurement,Saturation extracts,Chloride/SE - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14F1,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ICPAES,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F1
14F2,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - turbidimetric,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F2
14F3,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - gravimetric,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F3
14F4,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - automated colour,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F4
14F5,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F5
14F5a,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography (chemical suppression of eluent conductivity),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F5a
14F5b,LaboratoryMeasurement,Saturation extracts,Sulfate/SE - ion chromatography (single column with electronic suppression of eluent conductivity),LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14F5b
14G1,LaboratoryMeasurement,Saturation extracts,Fluoride/SE - specific ion electrode,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14G1
14G2,LaboratoryMeasurement,Saturation extracts,Fluoride/SE - ion chromatography,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14G2
14H1_CA,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14H1_K,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14H1_MG,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
14H1_NA,LaboratoryMeasurement,Saturation extracts,"Soluble bases/SE (Ca,Mg,K,Na)",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/14
15_BASES,LaboratoryMeasurement,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_HSK_CEC,LaboratoryMeasurement,Ion-exchange properties,CEC - meq per 100g of soil - HOSK,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR,LaboratoryMeasurement,Ion-exchange properties,Sum of Ex. cations + Ex. acidity - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_AL,LaboratoryMeasurement,Ion-exchange properties,Aluminium Cation - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_BSa,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_CA,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Ca++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_CEC,LaboratoryMeasurement,Ion-exchange properties,CEC - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_CMR,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_H,LaboratoryMeasurement,Ion-exchange properties,Hydrogen Cation - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_K,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (K++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_MG,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Mg++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_MN,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15_NR_NA,LaboratoryMeasurement,Ion-exchange properties,Exch. basic cations (Na++) - meq per 100g of soil - Not recorded,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_Ca_MQ,LaboratoryMeasurement,Ion-exchange properties,Exchangeable calcium,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_CEC,LaboratoryMeasurement,Ion-exchange properties,Exchangeable bases,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_Mg_MQ,LaboratoryMeasurement,Ion-exchange properties,Exchangeable magnesium,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_MN,LaboratoryMeasurement,Ion-exchange properties,NA,LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A1_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A2_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A2_CEC,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A2_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A2_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A2_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A3_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A3_CEC,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A3_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A3_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15A3_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases- 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B1_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B1_CEC,LaboratoryMeasurement,Ion-exchange properties,"CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B1_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B1_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B1_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, no pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B2_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B2_CEC,LaboratoryMeasurement,Ion-exchange properties,"CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B2_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B2_MG,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B2_NA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, pretreatment for soluble salts",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B3_CA,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B3_CEC,LaboratoryMeasurement,Ion-exchange properties,"CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
15B3_K,LaboratoryMeasurement,Ion-exchange properties,"Exchangeable bases and CEC - 1M ammonium chloride at pH 7.0, adjusted for soluble sodium",LAB_METHODS,FLOAT,http://registry.it.csiro.au/def/soil/au/scma/15
